,4k-RS
0,0.408
1,0.341
2,0.472
3,0.687
4,0.401
5,0.546
6,1.483
7,0.372
8,0.327
9,0.374
10,0.491
11,0.523
12,0.61
13,0.475
14,0.67
15,0.514
16,0.309
17,0.414
18,0.705
19,0.297
20,0.517
21,0.702
22,0.822
23,0.524
24,21.499
25,0.445
26,0.387
27,0.331
28,0.37
29,0.291
