,5k-RS
0,0.605
1,0.368
2,0.493
3,0.682
4,0.334
5,0.289
6,0.354
7,0.33
8,0.462
9,0.305
10,0.586
11,0.348
12,0.507
13,0.713
14,0.381
15,0.319
16,0.346
17,0.35
18,0.318
19,0.321
20,0.301
21,0.365
22,0.62
23,0.392
24,1.21
25,0.571
26,0.467
27,0.906
28,0.681
29,0.46
