,3k-RS
0,0.498
1,0.524
2,0.32
3,0.291
4,1.028
5,17.572
6,0.523
7,0.661
8,0.347
9,1.419
10,0.515
11,0.707
12,0.843
13,1.785
14,0.571
15,1.798
16,0.413
17,0.661
18,0.407
19,1.557
20,0.356
21,0.38
22,0.696
23,0.456
24,0.489
25,0.594
26,0.74
27,0.836
28,0.71
29,0.701
