,1k-RS
0,0.314
1,0.313
2,0.343
3,0.312
4,0.333
5,0.408
6,0.346
7,0.375
8,0.286
9,0.379
10,0.324
11,0.297
12,0.359
13,0.337
14,0.395
15,0.305
16,0.306
17,0.287
18,0.381
19,0.342
20,0.453
21,0.32
22,0.301
23,0.368
24,0.363
25,0.431
26,0.365
27,0.368
28,0.413
29,0.402
