,10-TP
0,1.538
1,18.079
2,0.518
3,1.746
4,1.23
5,0.928
6,0.731
7,0.49
8,0.634
9,1.059
10,0.553
11,17.409
12,20.093
13,1.805
14,0.608
15,2.782
16,1.933
17,1.759
18,0.56
19,1.122
20,0.517
21,0.512
22,3.384
23,17.509
24,22.327
25,3.067
26,1.74
27,0.555
28,0.48
29,0.663
