,No. of Projection Variables (PV),Avg. queries exection time(sec)
0,1,0.2881666666666666
1,2,0.3439333333333334
2,3,0.4604666666666667
3,4,0.35024137931034494
4,5,0.44699999999999995
5,6,0.39913333333333334
6,7,1.4199
7,8,0.5207
8,9,3.082066666666668
9,10,3.796566666666666
