,10k-RS
0,0.458
1,0.35
2,1.378
3,0.59
4,0.446
5,0.532
6,0.545
7,0.486
8,0.378
9,0.469
10,0.325
11,0.554
12,0.654
13,0.549
14,0.47
15,0.317
16,0.685
17,0.327
18,0.536
19,0.318
20,0.383
21,0.325
22,0.781
23,0.486
24,0.909
25,0.346
26,0.432
27,0.484
28,0.422
29,0.457
