,8-PV
0,0.638
1,0.442
2,0.488
3,0.54
4,0.707
5,0.559
6,0.547
7,0.558
8,0.369
9,0.405
10,0.397
11,0.458
12,0.375
13,0.401
14,0.433
15,0.431
16,0.609
17,0.5
18,0.577
19,0.352
20,0.353
21,0.683
22,0.6
23,0.493
24,0.653
25,0.554
26,0.741
27,0.537
28,0.576
29,0.645
