,7k-RS
0,0.824
1,0.306
2,1.696
3,0.364
4,
5,0.376
6,0.775
7,0.769
8,0.882
9,0.559
10,0.334
11,0.299
12,0.291
13,0.711
14,0.845
15,0.851
16,0.749
17,0.547
18,0.454
19,0.436
20,1.21
21,0.3
22,0.335
23,1.201
24,0.753
25,0.726
26,0.473
27,1.067
28,0.381
29,0.38
