,1-JV,2-JV,3-JV,4-JV,5-JV,6-JV
0,0.436,0.338,0.349,1.526,0.833,1.378
1,0.419,0.515,0.408,0.565,0.764,1.414
2,0.311,0.695,0.355,1.762,0.523,2.373
3,0.309,0.362,0.524,0.646,0.875,0.406
4,0.396,0.371,0.598,1.245,2.644,0.387
5,0.303,0.385,0.371,1.189,1.677,2.397
6,0.326,0.463,0.407,1.607,1.664,1.369
7,0.478,0.455,0.334,2.307,1.806,1.354
8,0.318,0.886,0.354,0.568,2.89,0.335
9,0.275,0.851,0.34,2.064,1.895,1.397
10,0.294,0.657,0.388,1.532,1.385,1.39
11,0.315,0.512,0.594,0.553,1.308,0.431
12,0.433,0.519,0.537,1.113,0.91,0.398
13,0.309,0.686,0.59,0.502,0.931,0.457
14,0.427,0.708,0.423,3.471,,0.364
15,0.392,0.413,1.226,1.838,,2.369
16,0.318,1.191,0.386,0.574,,0.425
17,1.449,0.815,0.354,2.858,,0.419
18,0.561,0.414,0.432,0.539,,0.369
19,0.299,0.888,0.487,0.534,,
20,0.289,0.828,0.322,2.543,,
21,0.31,0.453,0.56,2.065,,
22,0.334,18.979,0.708,1.71,,
23,0.607,0.338,0.346,1.77,,
24,0.423,0.36,0.383,1.832,,
25,0.298,0.333,0.457,1.015,,
26,0.339,0.571,0.477,1.294,,
27,0.298,0.655,0.344,0.504,,
28,0.488,0.698,0.65,2.609,,
29,0.324,0.376,0.623,1.863,,
mean,0.4025999999999999,1.1905,0.47756666666666664,1.473266666666667,1.4360714285714289,1.0227368421052632
