,8-TP
0,1.44
1,1.07
2,0.928
3,1.212
4,1.335
5,0.91
6,1.61
7,0.982
8,1.214
9,1.463
10,1.223
11,1.501
12,1.124
13,0.994
14,0.983
15,0.871
16,1.42
17,1.156
18,0.752
19,1.263
20,1.1
21,1.793
22,1.244
23,1.163
24,1.625
25,1.151
26,1.438
27,1.041
28,1.19
29,1.066
