,1-PV,2-PV,3-PV,4-PV,5-PV,6-PV,7-PV,8-PV,9-PV,10-PV
0,0.277,0.29,0.324,0.419,0.331,0.351,0.295,0.638,0.367,1.426
1,0.28,0.288,0.372,0.298,0.432,0.282,0.294,0.442,0.407,16.598
2,0.274,0.322,0.286,0.337,0.283,0.279,0.344,0.488,0.75,0.836
3,0.273,0.323,0.279,0.314,0.339,0.346,0.297,0.54,0.428,2.241
4,0.292,0.282,0.291,0.352,0.348,0.371,0.314,0.707,0.404,0.829
5,0.302,0.472,0.442,0.333,0.284,0.391,0.352,0.559,0.36,0.593
6,0.271,0.382,0.39,0.291,0.336,0.367,0.295,0.547,0.833,1.196
7,0.28,1.107,1.489,0.284,0.437,0.38,0.316,0.558,20.892,0.984
8,0.305,0.314,0.317,0.364,0.345,0.362,0.296,0.369,1.137,0.505
9,0.303,0.3,0.599,0.286,1.049,0.318,0.34,0.405,0.592,1.103
10,0.28,0.288,0.433,0.322,0.319,0.374,0.328,0.397,1.696,0.556
11,0.288,0.277,0.324,0.366,0.451,0.315,0.357,0.458,0.902,16.515
12,0.287,0.296,0.301,0.322,0.329,0.453,0.418,0.375,0.638,16.38
13,0.305,0.277,0.344,0.331,0.374,0.419,15.855,0.401,0.518,1.307
14,0.277,0.485,0.361,0.359,1.416,0.569,0.408,0.433,1.733,2.363
15,0.273,0.283,0.323,0.377,0.376,0.513,0.32,0.431,19.142,0.502
16,0.268,0.32,0.295,0.413,0.296,0.376,15.421,0.609,0.374,0.585
17,0.273,0.287,0.627,0.364,0.299,0.423,0.366,0.5,0.359,1.496
18,0.28,0.323,0.292,0.373,0.363,0.396,0.329,0.577,0.387,1.675
19,0.29,0.278,0.622,0.314,0.387,0.716,0.339,0.352,0.39,0.51
20,0.353,0.292,0.322,0.304,0.301,0.298,0.335,0.353,16.638,0.945
21,0.313,0.29,0.279,0.322,0.337,0.446,0.393,0.683,17.822,0.488
22,0.313,0.275,0.355,0.314,0.314,0.509,0.354,0.6,0.483,3.414
23,0.29,0.288,0.32,0.276,0.385,0.364,0.426,0.493,0.401,2.518
24,0.273,0.301,0.343,0.315,1.142,0.381,0.387,0.653,0.813,17.338
25,0.292,0.344,0.296,0.348,0.605,0.351,1.242,0.554,0.429,0.514
26,0.276,0.287,0.317,0.804,0.331,0.373,0.387,0.741,0.903,3.194
27,0.271,0.273,2.242,0.371,0.334,0.388,0.421,0.537,0.426,16.286
28,0.268,0.342,0.332,0.284,0.368,0.459,0.848,0.576,1.276,0.48
29,0.318,0.432,0.297,,0.499,0.404,0.52,0.645,0.962,0.52
mean,0.2881666666666666,0.3439333333333334,0.4604666666666667,0.35024137931034494,0.44699999999999995,0.39913333333333334,1.4199,0.5207,3.082066666666668,3.796566666666666
