,No. of Results Size (RS),Avg. queries exection time(sec)
0,1,0.35086666666666666
1,2,0.5947333333333334
2,3,1.2799333333333338
3,4,1.2102333333333333
4,5,0.47946666666666665
5,6,0.5914
6,7,0.6515172413793104
7,8,0.6438
8,9,0.8296666666666668
9,10,0.5130666666666668
