,4-TP
0,0.274
1,0.264
2,0.268
3,0.284
4,0.303
5,0.374
6,0.352
7,0.372
8,0.305
9,0.39
10,0.335
11,0.29
12,0.297
13,0.273
14,0.373
15,0.431
16,0.303
17,0.311
18,0.274
19,0.312
20,0.298
21,0.316
22,0.345
23,0.298
24,0.381
25,0.308
26,0.32
27,0.79
28,0.304
29,0.359
