,9-TP
0,0.747
1,1.503
2,0.792
3,2.208
4,1.043
5,0.947
6,0.762
7,27.777
8,1.027
9,0.441
10,1.052
11,0.404
12,0.453
13,0.38
14,0.907
15,0.406
16,19.788
17,0.356
18,0.34
19,0.354
20,0.383
21,17.919
22,18.548
23,0.617
24,0.74
25,0.933
26,0.542
27,0.675
28,1.127
29,1.979
