,8k-RS
0,0.414
1,0.469
2,0.614
3,1.198
4,0.719
5,0.278
6,0.819
7,0.79
8,0.286
9,0.771
10,0.982
11,0.728
12,1.549
13,0.491
14,0.329
15,0.386
16,1.237
17,0.315
18,0.996
19,0.364
20,0.34
21,0.766
22,0.381
23,0.627
24,0.956
25,1.099
26,0.29
27,0.327
28,0.391
29,0.402
