,9k-RS
0,0.296
1,0.302
2,1.031
3,0.332
4,0.909
5,0.925
6,0.315
7,0.921
8,0.311
9,0.864
10,0.312
11,1.01
12,0.705
13,0.693
14,0.823
15,0.332
16,2.772
17,1.178
18,0.91
19,0.311
20,1.189
21,0.863
22,1.034
23,0.991
24,1.109
25,0.385
26,0.38
27,0.998
28,1.304
29,1.385
