,1-TP,2-TP,3-TP,4-TP,5-TP,6-TP,7-TP,8-TP,9-TP,10-TP
0,0.31,0.328,0.399,0.274,0.447,0.343,0.478,1.44,0.747,1.538
1,0.262,0.308,0.41,0.264,0.273,0.345,0.529,1.07,1.503,18.079
2,0.268,0.294,0.357,0.268,0.316,0.35,0.556,0.928,0.792,0.518
3,0.273,0.271,0.271,0.284,0.539,0.266,0.522,1.212,2.208,1.746
4,0.272,0.273,0.494,0.303,0.335,0.28,0.755,1.335,1.043,1.23
5,0.262,0.453,0.364,0.374,0.339,0.279,0.836,0.91,0.947,0.928
6,0.269,0.305,0.671,0.352,0.286,0.394,0.59,1.61,0.762,0.731
7,0.268,0.301,1.614,0.372,0.417,0.411,0.488,0.982,27.777,0.49
8,0.273,1.434,0.277,0.305,0.368,0.301,0.571,1.214,1.027,0.634
9,0.264,0.432,0.307,0.39,0.696,0.351,0.708,1.463,0.441,1.059
10,0.265,0.314,0.286,0.335,0.363,0.287,0.892,1.223,1.052,0.553
11,0.265,0.32,0.306,0.29,0.443,0.413,0.514,1.501,0.404,17.409
12,0.266,0.456,0.283,0.297,0.467,0.298,0.531,1.124,0.453,20.093
13,0.262,0.269,0.278,0.273,0.581,0.38,0.632,0.994,0.38,1.805
14,0.263,0.275,0.272,0.373,0.467,0.486,28.194,0.983,0.907,0.608
15,0.262,0.3,0.411,0.431,0.728,0.382,29.213,0.871,0.406,2.782
16,0.263,0.273,0.29,0.303,0.88,0.332,0.688,1.42,19.788,1.933
17,0.27,0.304,0.32,0.311,2.507,0.521,0.797,1.156,0.356,1.759
18,0.284,0.273,0.272,0.274,0.396,0.693,1.109,0.752,0.34,0.56
19,0.266,0.284,0.308,0.312,2.193,0.363,1.149,1.263,0.354,1.122
20,0.28,0.276,0.307,0.298,0.519,0.426,0.89,1.1,0.383,0.517
21,0.26,0.28,0.268,0.316,1.593,0.548,0.823,1.793,17.919,0.512
22,0.266,0.287,0.601,0.345,0.675,0.37,0.806,1.244,18.548,3.384
23,0.264,0.312,2.484,0.298,0.433,0.27,1.141,1.163,0.617,17.509
24,0.334,0.275,0.289,0.381,0.468,0.512,0.679,1.625,0.74,22.327
25,0.265,0.27,0.277,0.308,0.4,0.427,0.86,1.151,0.933,3.067
26,0.27,0.397,0.317,0.32,0.453,0.492,0.731,1.438,0.542,1.74
27,0.266,0.293,0.323,0.79,0.643,0.383,0.84,1.041,0.675,0.555
28,0.26,0.267,0.59,0.304,0.312,0.418,0.796,1.19,1.127,0.48
29,0.266,0.309,0.269,0.359,0.507,0.308,0.881,1.066,1.979,0.663
mean,0.27059999999999995,0.34776666666666667,0.46383333333333343,0.3368,0.6348,0.3876333333333333,2.6066333333333334,1.2087333333333332,3.505000000000001,4.211033333333335
