,2k-RS
0,0.467
1,0.295
2,0.573
3,0.358
4,0.347
5,0.34
6,0.334
7,0.685
8,0.355
9,0.581
10,0.363
11,0.723
12,0.317
13,0.409
14,1.677
15,0.357
16,0.356
17,0.635
18,0.466
19,1.175
20,0.486
21,0.48
22,0.421
23,0.746
24,1.14
25,0.912
26,1.093
27,0.564
28,0.861
29,0.326
