,1k-RS,2k-RS,3k-RS,4k-RS,5k-RS,6k-RS,7k-RS,8k-RS,9k-RS,10k-RS
0,0.799,7.366,18.75,7.727,10.421,3.495,105.967,10.125,1.335,17.616
1,0.655,6.811,17.786,1.609,1.785,3.703,0.654,17.021,1.79,3.552
2,0.684,21.089,0.657,5.404,9.785,1.78,334.528,26.564,53.396,175.145
3,0.778,17.673,7.335,17.028,5.562,8.401,1.52,92.676,3.295,42.224
4,0.708,1.347,23.577,40.146,6.274,5.038,23.971,37.224,7.594,14.004
5,2.348,1.365,166.015,77.483,0.994,1.029,1.452,0.616,7.646,17.144
6,0.708,1.009,2.622,128.727,7.453,1.98,23.463,37.099,1.805,17.415
7,1.949,19.019,18.787,1.109,0.665,4.008,22.528,44.992,7.805,15.959
8,0.686,1.789,1.124,4.105,24.417,1.094,22.183,0.634,1.724,4.75
9,2.296,13.479,27.27,1.141,7.333,4.573,23.303,44.711,42.024,12.806
10,0.717,9.919,24.864,5.514,11.388,5.345,0.622,61.413,1.583,1.985
11,0.702,19.922,0.655,6.051,2.632,6.818,1.365,30.65,7.832,26.288
12,0.729,1.578,2.861,10.338,40.157,2.199,0.605,91.846,4.549,40.037
13,1.62,11.648,27.49,12.512,5.519,1.562,22.816,13.808,51.75,31.597
14,2.145,60.296,7.229,5.999,5.067,1.946,23.368,16.837,52.702,13.186
15,0.948,11.268,29.092,9.111,3.621,3.98,25.425,0.607,1.488,1.952
16,0.691,2.103,0.825,1.056,4.772,1.058,24.687,92.773,116.67,47.175
17,0.638,10.247,56.18,28.395,0.646,1.084,14.435,8.512,7.623,3.021
18,0.668,4.482,8.093,26.365,0.612,18.431,0.63,60.504,7.645,22.419
19,0.693,34.971,26.844,0.857,5.197,12.957,37.313,0.632,1.688,1.501
20,1.771,4.404,1.186,15.497,0.643,4.73,25.567,16.704,10.864,4.228
21,0.678,43.173,1.098,5.979,6.097,3.495,0.655,27.189,7.652,2.086
22,0.681,14.499,19.002,11.721,7.402,3.617,0.624,0.628,7.979,21.773
23,0.73,14.423,23.583,9.588,12.422,2.392,24.295,13.975,7.803,10.905
24,2.34,21.245,15.129,81.118,88.243,4.778,25.041,63.595,7.761,71.887
25,2.571,5.724,7.152,16.638,2.33,12.978,25.503,61.006,2.455,2.366
26,1.798,17.963,16.779,12.768,14.734,3.848,21.556,0.616,2.138,14.887
27,0.715,13.026,1.585,1.658,10.178,5.644,110.413,6.766,7.76,19.947
28,2.319,22.763,4.6,4.178,1.63,16.533,0.636,9.665,8.172,10.119
29,2.159,1.341,18.597,1.281,0.902,8.469,34.785,35.063,7.664,16.375
mean,1.2308000000000006,13.864733333333334,19.22556666666667,18.370100000000004,9.962699999999996,5.232166666666666,32.663666666666664,30.815033333333325,15.073066666666664,22.81163333333333
