,1-PV,2-PV,3-PV,4-PV,5-PV,6-PV,7-PV,8-PV,9-PV,10-PV
0,0.62,0.86,3.873,8.006,5.86,2.267,0.675,12.873,0.75,46.143
1,0.639,0.631,2.394,0.658,5.393,4.099,0.689,8.807,0.737,164.527
2,0.607,1.401,0.733,0.817,0.7,0.879,15.018,18.851,25.343,6.213
3,0.609,0.851,0.936,1.15,5.597,2.158,0.693,17.799,0.856,73.557
4,0.605,0.703,0.68,1.246,0.763,2.548,0.754,16.586,0.757,28.106
5,0.618,3.244,16.5,0.694,6.442,14.847,2.002,13.014,0.871,10.055
6,0.64,2.943,3.333,1.36,0.685,21.954,0.701,62.128,24.708,34.562
7,0.677,51.376,182.267,0.671,15.494,14.929,0.693,20.352,74.734,27.866
8,0.612,0.853,1.193,0.944,1.63,1.823,0.801,0.657,22.153,41.617
9,0.677,0.864,11.376,1.377,23.366,0.943,2.234,11.823,31.434,26.979
10,0.633,0.834,10.492,0.624,5.8,2.257,1.53,12.301,23.605,26.834
11,0.645,0.669,0.633,0.7,8.8,5.779,14.687,8.702,0.69,165.83100000000002
12,0.62,0.596,1.922,2.613,6.182,20.963,27.636,11.105,0.666,166.754
13,0.619,0.63,1.236,0.647,2.283,1.489,51.321,8.577,0.691,37.891
14,0.644,4.601,1.69,1.597,130.902,50.942,34.811,9.863,21.311,86.779
15,0.627,0.799,1.837,4.351,0.687,48.29,0.731,9.59,92.134,28.481
16,0.655,0.833,7.165,28.628,6.507,1.924,64.66,16.445,0.701,8.416
17,0.643,0.853,5.755,2.76,10.677,1.87,1.383,21.5,2.304,52.095
18,0.633,0.999,0.761,2.029,5.759,5.474,9.337,13.327,0.718,55.15
19,0.628,0.633,42.976,1.366,2.705,1.68,0.699,0.677,0.859,6.886
20,0.647,0.788,0.684,4.217,0.724,1.485,0.699,0.804,51.182,23.22
21,0.647,0.975,0.683,0.633,0.633,3.307,2.405,18.914,57.081,5.636
22,0.618,0.686,1.128,0.679,6.116,2.412,0.796,12.602,0.711,157.031
23,0.619,0.644,0.652,10.232,14.662,9.392,3.825,17.216,0.675,61.327
24,0.639,0.784,1.118,0.658,27.372,1.684,2.811,19.791,20.499,178.269
25,0.643,3.332,1.47,0.772,43.21,6.916,15.048,22.208,30.002,13.322
26,0.641,0.639,1.084,0.65,1.343,2.185,0.72,25.069,21.811,164.988
27,0.628,0.672,101.776,92.906,0.671,2.002,2.88,27.892,37.104,172.78199999999998
28,0.617,1.117,1.712,1.61,0.639,2.226,2.65,19.69,30.693,28.201
29,0.58,5.239,5.497,0.659,25.666,3.78,21.113,22.0,21.219,5.82
mean,0.6309999999999999,3.001633333333333,13.7852,5.841800000000001,12.242266666666666,8.083466666666668,9.466733333333334,16.038766666666664,19.89996666666667,63.51126666666666
