,1-PV,2-PV,3-PV,4-PV,5-PV,6-PV,7-PV,8-PV,9-PV,10-PV
0,0.621,0.921,22.263,50.582,35.529,2.225,0.684,114.444,0.692,262.85
1,0.629,0.636,1.93,0.708,33.48,22.859,0.727,53.623,0.667,246.109
2,0.652,6.209,0.628,2.29,0.632,3.347,91.786,151.144,254.074,256.652
3,0.612,0.794,2.538,1.245,34.359,2.414,0.864,152.22899999999998,0.652,415.633
4,0.662,0.68,0.619,5.654,0.674,3.082,0.795,118.284,0.61,52.068
5,0.64,19.123,129.719,0.69,40.377,285.248,2.777,113.213,0.683,371.929
6,0.606,15.285,20.692,6.788,0.664,34.944,0.915,276.725,256.289,40.03
7,0.625,357.533,385.98,0.639,69.88,83.501,0.848,150.641,254.498,401.17
8,0.611,0.925,5.581,2.768,9.438,8.698,0.823,279.634,254.753,48.306
9,0.622,0.814,82.094,1.656,318.657,2.16,4.014,114.044,252.256,49.936
10,0.609,0.829,377.026,0.71,35.945,1.954,3.285,52.969,249.451,
11,0.646,0.643,0.651,0.685,55.54,35.838,123.732,51.445,0.692,
12,0.636,0.658,9.64,2.046,37.911,132.536,354.823,217.486,0.667,
13,0.627,0.75,1.363,391.62,1.903,3.301,269.252,56.012,0.666,
14,0.601,28.612,1.778,7.452,362.693,313.451,138.192,52.395,255.828,
15,0.622,0.822,7.889,25.591,0.647,264.574,0.655,56.202,247.569,
16,0.615,2.154,49.508,287.035,41.838,2.694,262.041,115.048,0.684,
17,0.611,0.858,31.112,2.587,93.722,1.844,2.497,152.30599999999998,0.655,
18,0.624,3.168,2.195,2.181,37.254,36.616,259.981,120.748,0.675,
19,0.59,0.6,369.242,1.536,16.707,5.881,0.712,0.639,0.683,
20,0.586,0.799,0.693,106.861,0.734,8.913,0.74,0.658,252.495,
21,0.637,2.947,0.629,118.787,9.068,3.296,2.483,115.899,249.058,
22,0.62,0.625,4.815,0.628,44.082,1.882,0.697,119.185,0.691,
23,0.625,0.608,0.642,105.946,0.648,78.008,2.069,143.485,0.68,
24,0.6,0.83,4.461,0.679,295.73,1.565,1.651,118.796,261.826,
25,0.611,18.742,6.592,2.202,332.028,54.94,128.251,153.414,245.73,
26,0.62,0.733,6.953,0.678,4.067,11.025,0.723,112.572,256.246,
27,0.633,0.624,0.614,349.088,0.692,3.038,1.971,153.136,266.983,
28,0.616,4.314,5.896,1.832,0.72,1.897,1.713,155.47899999999998,251.743,
29,0.655,29.807,42.723,0.665,0.749,20.251,59.049,153.64600000000002,257.357,
mean,0.6221333333333334,16.734766666666673,52.548866666666676,49.394300000000015,63.87893333333333,47.73273333333335,57.29166666666666,120.85003333333336,135.85176666666663,214.4683
