,No. of Results Size (RS),Avg. queries exection time(sec)
0,1,1.235866666666667
1,2,105.43213333333331
2,3,116.06706666666666
3,4,102.62566666666665
4,5,62.095033333333326
5,6,30.5748
6,7,144.5773
7,8,174.95379999999994
8,9,57.60003333333334
9,10,156.13050000000004
