,4-RS
0,2.418
1,0.474
2,1.264
3,6.91
4,7.412
5,21.256
6,58.9
7,0.301
8,1.154
9,0.363
10,1.582
11,2.29
12,3.651
13,5.016
14,2.765
15,4.051
16,0.424
17,103.50200000000001
18,7.337
19,0.262
20,3.142
21,2.668
22,3.973
23,3.559
24,27.788
25,8.581
26,3.332
27,0.37
28,1.349
29,0.315
