,No. of Projection Variables (PV),Avg. queries exection time(sec)
0,1,0.11983333333333332
1,2,1.2148333333333334
2,3,5.5644
3,4,2.2348666666666666
4,5,22.1314
5,6,1.8148666666666662
6,7,10.733899999999998
7,8,3.639033333333333
8,9,23.293833333333335
9,10,24.973066666666668
