,6-TP
0,0.608
1,0.566
2,0.568
3,1.562
4,0.189
5,0.755
6,5.352
7,5.089
8,1.039
9,0.551
10,0.198
11,7.116
12,0.386
13,0.433
14,7.64
15,0.523
16,0.503
17,3.919
18,0.996
19,0.413
20,16.663
21,0.313
22,0.769
23,10.77
24,1.278
25,0.488
26,0.416
27,1.636
28,0.623
29,0.721
