,2-RS
0,1.81
1,1.034
2,2.377
3,4.378
4,0.373
5,0.399
6,0.24
7,2.716
8,0.544
9,2.245
10,2.55
11,3.313
12,0.437
13,3.084
14,9.35
15,2.8
16,0.847
17,2.517
18,1.287
19,5.845
20,1.384
21,92.787
22,3.236
23,2.487
24,3.721
25,1.762
26,4.688
27,2.411
28,4.142
29,0.397
