,No. of Join Vertices (JV),Avg. queries exection time(sec)
0,1,2.5800666666666663
1,2,4.8853
2,3,3.4678999999999998
3,4,7.0044666666666675
4,5,2.770857142857143
5,6,6.3161578947368415
