,6-RS
0,1.428
1,1.204
2,0.718
3,4.036
4,2.243
5,0.365
6,0.742
7,1.521
8,0.3
9,2.085
10,2.022
11,2.604
12,0.907
13,0.62
14,0.9
15,1.827
16,0.521
17,0.537
18,11.033
19,6.872
20,1.976
21,1.3
22,1.47
23,0.874
24,1.745
25,6.783
26,1.722
27,2.413
28,6.845
29,1.963
