,10-RS
0,10.501
1,3.944
2,84.383
3,16.568
4,5.929
5,6.844
6,7.05
7,6.315
8,1.777
9,4.979
10,0.757
11,9.974
12,15.662
13,12.412
14,5.309
15,0.762
16,18.236
17,1.273
18,10.829
19,0.545
20,1.594
21,0.859
22,8.049
23,4.081
24,26.946
25,0.892
26,5.811
27,7.662
28,3.926
29,6.721
