,4-TP
0,0.175
1,0.184
2,0.164
3,0.286
4,0.426
5,2.419
6,0.421
7,0.95
8,0.173
9,7.478
10,0.377
11,0.128
12,0.147
13,0.163
14,1.341
15,0.934
16,0.402
17,0.461
18,0.146
19,1.261
20,0.186
21,0.156
22,0.423
23,0.136
24,0.71
25,0.135
26,2.563
27,45.87
28,0.181
29,0.813
