,3-RS
0,5.677
1,5.221
2,0.149
3,1.947
4,4.851
5,99.82900000000001
6,0.913
7,5.743
8,0.37
9,5.819
10,163.929
11,0.144
12,0.919
13,4.853
14,2.057
15,5.742
16,0.159
17,435.551
18,2.005
19,5.227
20,0.367
21,0.279
22,5.442
23,4.767
24,4.866
25,2.238
26,5.116
27,0.489
28,1.438
29,5.379
