,1-RS
0,0.251
1,0.205
2,0.172
3,0.187
4,0.178
5,0.813
6,0.164
7,0.469
8,0.14
9,0.538
10,0.16
11,0.143
12,0.143
13,0.298
14,0.631
15,0.178
16,0.137
17,0.116
18,0.14
19,0.144
20,0.601
21,0.152
22,0.152
23,0.139
24,0.522
25,0.559
26,0.564
27,0.152
28,0.791
29,0.651
