,2-JV
0,1.136
1,1.4
2,2.306
3,1.106
4,0.119
5,0.347
6,1.724
7,0.166
8,4.556
9,4.403
10,3.184
11,0.395
12,0.153
13,0.129
14,2.659
15,0.493
16,4.488
17,2.298
18,1.094
19,2.169
20,0.624
21,0.434
22,100.74799999999999
23,1.035
24,0.15
25,0.135
26,0.737
27,4.673
28,3.364
29,0.334
