,8-TP
0,2.829
1,5.315
2,1.809
3,5.737
4,2.353
5,1.766
6,21.54
7,0.163
8,1.929
9,2.382
10,3.15
11,5.781
12,1.798
13,1.765
14,1.748
15,2.841
16,2.505
17,5.573
18,0.153
19,2.417
20,0.162
21,2.643
22,2.276
23,5.322
24,3.193
25,5.112
26,2.981
27,15.541
28,5.848
29,5.202
