,1-RS,2-RS,3-RS,4-RS,5-RS,6-RS,7-RS,8-RS,9-RS,10-RS
0,0.251,1.81,5.677,2.418,4.257,1.428,47.934,4.589,0.564,10.501
1,0.205,1.034,5.221,0.474,0.706,1.204,0.166,7.743,0.815,3.944
2,0.172,2.377,0.149,1.264,3.058,0.718,89.005,11.977,24.225,84.383
3,0.187,4.378,1.947,6.91,2.807,4.036,0.698,41.371,1.252,16.568
4,0.178,0.373,4.851,7.412,1.631,2.243,10.489,16.091,3.281,5.929
5,0.813,0.399,99.829,21.256,0.399,0.365,0.711,0.137,3.348,6.844
6,0.164,0.24,0.913,58.9,2.797,0.742,10.25,16.427,0.714,7.05
7,0.469,2.716,5.743,0.301,0.176,1.521,10.672,19.87,3.336,6.315
8,0.14,0.544,0.37,1.154,7.974,0.3,10.618,0.14,0.74,1.777
9,0.538,2.245,5.819,0.363,1.675,2.085,10.134,28.137,17.471,4.979
10,0.16,2.55,163.929,1.582,4.093,2.022,0.163,27.033,0.592,0.757
11,0.143,3.313,0.144,2.29,0.961,2.604,0.7,14.173,3.305,9.974
12,0.143,0.437,0.919,3.651,13.45,0.907,0.157,41.378,1.951,15.662
13,0.298,3.084,4.853,5.016,2.997,0.62,9.917,5.845,23.145,12.412
14,0.631,9.35,2.057,2.765,1.929,0.9,10.058,8.315,22.421,5.309
15,0.178,2.8,5.742,4.051,1.34,1.827,10.814,0.13,0.531,0.762
16,0.137,0.847,0.159,0.424,1.654,0.521,10.114,40.806,49.061,18.236
17,0.116,2.517,435.551,103.502,0.18,0.537,5.763,3.118,3.603,1.273
18,0.14,1.287,2.005,7.337,0.16,11.033,0.154,25.26,3.531,10.829
19,0.144,5.845,5.227,0.262,1.405,6.872,12.296,0.119,0.769,0.545
20,0.601,1.384,0.367,3.142,0.162,1.976,10.271,7.921,5.358,1.594
21,0.152,92.787,0.279,2.668,2.052,1.3,0.147,11.336,3.613,0.859
22,0.152,3.236,5.442,3.973,2.793,1.47,0.118,0.111,3.528,8.049
23,0.139,2.487,4.767,3.559,2.498,0.874,10.463,6.314,3.781,4.081
24,0.522,3.721,4.866,27.788,31.515,1.745,10.968,25.283,3.643,26.946
25,0.559,1.762,2.238,8.581,0.802,6.783,10.615,27.912,1.039,0.892
26,0.564,4.688,5.116,3.332,2.831,1.722,10.641,0.143,0.814,5.811
27,0.152,2.411,0.489,0.37,2.661,2.413,38.209,2.581,3.601,7.662
28,0.791,4.142,1.438,1.349,0.418,6.845,0.128,4.434,3.644,3.926
29,0.651,0.397,5.379,0.315,0.152,1.963,8.567,17.902,3.586,6.721
mean,0.31633333333333336,5.505366666666665,26.049533333333336,9.546966666666666,3.3177666666666665,2.3192,11.698000000000002,13.886533333333336,6.575400000000001,9.686333333333332
