,3-PV
0,1.041
1,0.78
2,0.143
3,0.23
4,0.129
5,8.078
6,1.554
7,75.273
8,0.464
9,3.946
10,4.169
11,0.135
12,0.627
13,0.404
14,0.565
15,0.756
16,1.987
17,2.491
18,0.169
19,18.848
20,0.141
21,0.164
22,0.319
23,0.14
24,0.349
25,0.447
26,0.352
27,40.953
28,0.658
29,1.62
