,5-RS
0,4.257
1,0.706
2,3.058
3,2.807
4,1.631
5,0.399
6,2.797
7,0.176
8,7.974
9,1.675
10,4.093
11,0.961
12,13.45
13,2.997
14,1.929
15,1.34
16,1.654
17,0.18
18,0.16
19,1.405
20,0.162
21,2.052
22,2.793
23,2.498
24,31.515
25,0.802
26,2.831
27,2.661
28,0.418
29,0.152
