,8-PV
0,2.349
1,1.763
2,5.647
3,5.349
4,2.742
5,2.271
6,20.593
7,5.674
8,0.155
9,3.031
10,1.849
11,1.76
12,2.685
13,1.802
14,1.799
15,1.793
16,2.651
17,5.488
18,2.405
19,0.158
20,0.154
21,2.92
22,2.163
23,5.177
24,2.604
25,5.405
26,3.146
27,5.376
28,5.203
29,5.059
