,4-PV
0,2.371
1,0.101
2,0.189
3,0.339
4,0.426
5,0.174
6,0.402
7,0.139
8,0.256
9,0.423
10,0.148
11,0.14
12,0.867
13,0.139
14,0.468
15,1.341
16,7.427
17,0.975
18,0.76
19,0.426
20,1.208
21,0.131
22,0.154
23,2.563
24,0.14
25,0.176
26,0.141
27,44.352
28,0.514
29,0.156
