,8-RS
0,4.589
1,7.743
2,11.977
3,41.371
4,16.091
5,0.137
6,16.427
7,19.87
8,0.14
9,28.137
10,27.033
11,14.173
12,41.378
13,5.845
14,8.315
15,0.13
16,40.806
17,3.118
18,25.26
19,0.119
20,7.921
21,11.336
22,0.111
23,6.314
24,25.283
25,27.912
26,0.143
27,2.581
28,4.434
29,17.902
