,7-RS
0,47.934
1,0.166
2,89.005
3,0.698
4,10.489
5,0.711
6,10.25
7,10.672
8,10.618
9,10.134
10,0.163
11,0.7
12,0.157
13,9.917
14,10.058
15,10.814
16,10.114
17,5.763
18,0.154
19,12.296
20,10.271
21,0.147
22,0.118
23,10.463
24,10.968
25,10.615
26,10.641
27,38.209
28,0.128
29,8.567
