,9-TP
0,0.187
1,3.48
2,0.187
3,3.872
4,0.177
5,0.162
6,0.181
7,100.21600000000001
8,4.26
9,96.862
10,4.347
11,0.155
12,0.157
13,0.16
14,4.016
15,0.155
16,103.20400000000001
17,0.537
18,0.157
19,0.158
20,0.16
21,97.106
22,96.152
23,0.167
24,3.89
25,4.123
26,94.054
27,94.731
28,5.573
29,4.137
