,9-PV
0,0.187
1,0.164
2,3.362
3,0.165
4,0.14
5,0.149
6,3.725
7,97.832
8,4.166
9,93.706
10,4.333
11,0.188
12,0.189
13,0.16
14,3.961
15,99.259
16,0.185
17,0.55
18,0.156
19,0.177
20,92.785
21,94.664
22,0.168
23,0.145
24,3.878
25,90.039
26,4.037
27,90.936
28,5.448
29,3.961
