,9-RS
0,0.564
1,0.815
2,24.225
3,1.252
4,3.281
5,3.348
6,0.714
7,3.336
8,0.74
9,17.471
10,0.592
11,3.305
12,1.951
13,23.145
14,22.421
15,0.531
16,49.061
17,3.603
18,3.531
19,0.769
20,5.358
21,3.613
22,3.528
23,3.781
24,3.643
25,1.039
26,0.814
27,3.601
28,3.644
29,3.586
