,3-TP
0,0.407
1,0.824
2,1.613
3,0.138
4,8.375
5,0.567
6,3.944
7,77.381
8,0.245
9,0.143
10,2.039
11,0.75
12,1.019
13,0.12
14,0.455
15,4.449
16,0.671
17,0.358
18,0.148
19,0.124
20,0.318
21,0.16
22,19.771
23,41.574
24,1.739
25,0.461
26,0.383
27,0.647
28,2.537
29,0.178
