3k-RS
0.498
0.46
0.212
0.248
0.298
2.526
0.253
0.433
0.209
0.344
3.626
0.199
0.239
0.541
0.269
0.577
0.204
11.843
0.243
0.315
0.213
0.221
0.412
0.363
0.318
0.278
0.406
0.218
0.258
0.401
