8-PV
0.741
0.609
0.894
0.604
0.525
0.606
1.507
0.708
0.332
0.34
0.333
0.312
0.244
0.406
0.469
0.552
0.353
0.441
0.572
0.29
0.236
0.339
0.318
0.388
0.346
0.551
0.341
0.809
1.041
0.748
