10-PV
0.528
2.984
0.28
0.514
0.565
0.252
0.301
0.55
2.578
0.341
0.593
2.688
2.511
0.329
0.509
0.464
0.253
0.542
0.404
0.617
0.316
0.244
0.753
1.015
2.961
0.223
0.619
2.552
0.45
0.244
