4-JV
0.38
0.229
0.46
0.292
0.326
0.33
0.372
0.532
0.248
0.417
0.417
0.23
0.347
0.307
1.048
0.471
0.242
0.682
0.232
0.337
0.554
0.482
0.408
0.439
0.395
0.386
0.459
0.314
0.704
0.431
