6-TP
0.216
0.314
0.327
0.282
0.233
0.233
0.426
0.322
0.233
0.249
0.221
0.539
0.278
0.259
0.667
0.293
0.273
0.317
0.286
0.254
1.198
0.338
0.395
0.723
0.258
0.239
0.268
0.261
0.272
0.273
