7k-RS
1.508
0.284
4.442
0.236
0.915
0.268
1.259
1.432
0.923
0.934
0.269
0.304
0.273
0.96
0.975
1.033
1.001
0.594
0.226
0.831
0.96
0.234
0.228
0.783
0.817
0.857
0.668
2.599
0.228
0.438
