1-PV
0.418
0.407
0.441
0.417
0.492
0.423
0.448
0.207
0.237
0.269
0.235
0.337
0.284
0.26
0.405
0.489
0.324
0.29
0.451
0.344
0.251
0.287
0.262
0.209
0.237
0.226
0.214
0.217
0.26
0.402
