,1-TP,2-TP,3-TP,4-TP,5-TP,6-TP,7-TP,8-TP,9-TP,10-TP
0,1.126,0.241,0.26,0.217,0.42,0.216,0.234,0.341,0.221,0.351
1,1.328,0.324,0.3,0.209,0.26,0.314,0.251,0.407,0.287,2.581
2,0.311,0.272,0.33,0.287,0.238,0.327,0.509,0.325,0.291,0.236
3,0.226,0.201,0.234,0.223,0.313,0.282,0.363,0.419,0.399,0.407
4,0.361,0.242,0.503,0.235,0.239,0.233,0.295,0.308,0.368,0.327
5,1.132,0.458,0.263,0.344,0.306,0.233,0.335,0.343,0.26,0.564
6,0.275,0.347,0.907,0.226,0.288,0.426,0.314,0.811,0.327,0.556
7,0.384,0.225,3.893,0.332,0.239,0.322,0.253,0.225,3.124,2.493
8,0.314,2.595,0.225,0.221,0.332,0.233,0.225,0.332,0.291,0.241
9,0.234,0.373,0.368,0.454,0.327,0.249,0.283,0.305,3.194,0.305
10,0.225,0.278,0.447,0.216,0.518,0.221,2.585,0.29,0.516,0.518
11,0.5,0.327,0.339,0.253,0.301,0.539,0.24,0.469,0.607,2.607
12,0.337,0.69,0.237,0.231,0.376,0.278,0.412,0.34,0.403,2.54
13,0.486,0.209,0.311,0.212,0.544,0.259,0.419,0.349,0.271,0.354
14,0.421,0.242,0.558,0.304,0.494,0.667,3.072,0.359,0.417,0.475
15,0.495,0.232,1.036,0.32,0.31,0.293,2.651,0.249,0.361,0.514
16,0.393,0.233,0.429,0.224,0.256,0.273,0.228,0.586,4.249,0.405
17,0.465,0.239,0.304,0.238,2.638,0.317,0.624,0.485,0.528,0.385
18,0.215,0.212,0.222,0.221,0.432,0.286,0.22,0.289,0.245,0.22
19,2.027,0.226,0.227,0.231,0.355,0.254,0.254,0.378,0.216,0.277
20,0.213,0.273,0.239,0.224,0.265,1.198,0.229,0.206,0.252,0.227
21,0.22,0.536,0.469,0.203,0.31,0.338,0.212,0.333,4.168,0.23
22,0.515,0.5,0.913,0.224,11.536,0.395,0.286,0.449,2.494,0.667
23,0.326,0.212,7.901,0.21,0.206,0.723,0.853,0.502,0.207,2.507
24,0.221,0.212,0.391,0.265,0.262,0.258,0.412,0.399,0.271,2.673
25,0.377,0.22,0.367,0.208,0.214,0.239,0.4,0.406,0.29,0.67
26,0.213,0.492,0.25,0.258,0.277,0.268,0.463,0.384,2.61,0.398
27,0.196,0.475,0.296,1.396,0.413,0.261,0.41,0.617,4.484,0.246
28,0.202,0.246,0.766,0.223,0.417,0.272,0.359,0.417,0.336,0.222
29,0.191,0.251,0.22,0.283,0.337,0.273,0.316,0.526,0.465,0.448
mean,0.4643,0.3861,0.7735,0.28973333333333334,0.7807666666666668,0.34823333333333334,0.5902333333333333,0.39496666666666674,1.0717333333333334,0.8214666666666669
