6-PV
0.444
0.431
0.413
0.417
0.435
0.719
0.775
0.325
0.242
0.218
0.327
0.382
0.7
0.376
0.691
0.536
0.243
0.271
0.242
0.265
0.319
0.228
0.231
0.25
0.304
0.238
0.244
0.462
0.304
0.292
