10-TP
0.351
2.581
0.236
0.407
0.327
0.564
0.556
2.493
0.241
0.305
0.518
2.607
2.54
0.354
0.475
0.514
0.405
0.385
0.22
0.277
0.227
0.23
0.667
2.507
2.673
0.67
0.398
0.246
0.222
0.448
