query=0
SPARQL query executed in 0.626s with 2 HTTP requests
query=1
SPARQL query executed in 1.067s with 7 HTTP requests
query=2
SPARQL query executed in 1.125s with 7 HTTP requests
query=3
SPARQL query executed in 0.779s with 5 HTTP requests
query=4
SPARQL query executed in 0.523s with 2 HTTP requests
query=5
SPARQL query executed in 1.343s with 6 HTTP requests
query=6
SPARQL query executed in 0.657s with 4 HTTP requests
query=7
SPARQL query executed in 0.582s with 4 HTTP requests
query=8
SPARQL query executed in 0.368s with 2 HTTP requests
query=9
SPARQL query executed in 0.955s with 6 HTTP requests
query=10
SPARQL query executed in 0.59s with 3 HTTP requests
query=11
SPARQL query executed in 1.158s with 8 HTTP requests
query=12
SPARQL query executed in 1.995s with 10 HTTP requests
query=13
SPARQL query executed in 0.819s with 4 HTTP requests
query=14
SPARQL query executed in 0.603s with 4 HTTP requests
query=15
SPARQL query executed in 0.84s with 6 HTTP requests
query=16
SPARQL query executed in 1.575s with 10 HTTP requests
query=17
SPARQL query executed in 0.717s with 3 HTTP requests
query=18
SPARQL query executed in 0.621s with 4 HTTP requests
query=19
query=20
query=21
query=22
query=23
query=24
query=25
query=26
query=27
query=28
query=29
query=30
