9-PV
0.423
0.441
0.48
0.337
0.335
0.363
0.36
3.128
0.403
3.104
0.391
0.31
0.336
0.328
0.447
3.183
0.298
0.551
0.321
0.288
3.026
3.095
0.306
0.327
0.406
3.037
0.419
2.916
0.446
0.384
