8k-RS
0.562
0.737
1.133
3.247
1.511
0.224
1.526
1.774
0.225
1.806
2.406
1.254
3.266
0.644
0.343
0.225
3.189
0.299
2.365
0.237
0.331
1.136
0.226
0.645
2.83
2.27
0.231
0.288
0.484
0.472
