2-JV
0.227
0.267
0.32
0.217
0.205
0.201
0.317
0.205
0.433
0.416
0.502
0.209
0.237
0.203
0.317
0.218
0.302
0.292
0.231
0.319
0.225
0.209
2.495
0.225
0.215
0.219
0.239
0.441
0.262
0.236
