2-TP
0.241
0.324
0.272
0.201
0.242
0.458
0.347
0.225
2.595
0.373
0.278
0.327
0.69
0.209
0.242
0.232
0.233
0.239
0.212
0.226
0.273
0.536
0.5
0.212
0.212
0.22
0.492
0.475
0.246
0.251
