3-TP
0.26
0.3
0.33
0.234
0.503
0.263
0.907
3.893
0.225
0.368
0.447
0.339
0.237
0.311
0.558
1.036
0.429
0.304
0.222
0.227
0.239
0.469
0.913
7.901
0.391
0.367
0.25
0.296
0.766
0.22
