7-TP
0.234
0.251
0.509
0.363
0.295
0.335
0.314
0.253
0.225
0.283
2.585
0.24
0.412
0.419
3.072
2.651
0.228
0.624
0.22
0.254
0.229
0.212
0.286
0.853
0.412
0.4
0.463
0.41
0.359
0.316
