3-JV
0.39
0.218
0.211
0.439
0.801
0.294
0.308
0.267
0.295
0.22
0.267
0.379
0.215
0.309
0.276
2.819
0.214
0.379
0.381
0.623
0.328
0.217
0.8
0.235
0.334
0.452
0.231
0.297
0.225
0.847
